,tconst,all_all_ratings,all_all_v_counts,all_males_ratings,all_males_v_counts,all_females_ratings,all_females_v_counts,under_18_all_ratings,under_18_all_v_counts,under_18_males_ratings,under_18_males_v_counts,under_18_females_ratings,under_18_females_v_counts,f18_29_all_ratings,f18_29_all_v_counts,f18_29_males_ratings,f18_29_males_v_counts,f18_29_females_ratings,f18_29_females_v_counts,f30_44_all_ratings,f30_44_all_v_counts,f30_44_males_ratings,f30_44_males_v_counts,f30_44_females_ratings,f30_44_females_v_counts,f45_all_ratings,f45_all_v_counts,f45_males_ratings,f45_males_v_counts,f45_females_ratings,f45_females_v_counts
0,tt0000008,5.4,2097.0,5.3,1458.0,5.6,161.0,6.0,1.0,0.0,0.0,6.0,1.0,5.5,271.0,5.5,235.0,5.5,31.0,5.2,951.0,5.2,846.0,5.5,92.0,5.5,361.0,5.5,321.0,6.0,34.0
1,tt0276816,6.1,23104.0,6.1,16079.0,6.2,2115.0,7.5,2.0,7.5,2.0,0.0,0.0,6.0,668.0,6.0,530.0,6.1,117.0,6.1,10151.0,6.1,8912.0,6.0,1126.0,6.2,7082.0,6.2,6182.0,6.3,787.0
2,tt0301390,6.6,2549.0,6.3,1029.0,7.0,964.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,108.0,6.1,22.0,6.7,84.0,6.6,967.0,6.2,413.0,6.9,544.0,6.6,899.0,6.4,571.0,7.1,315.0
3,tt0306097,6.3,1388.0,6.4,918.0,6.4,184.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,18.0,6.5,10.0,5.8,7.0,6.4,638.0,6.4,498.0,6.5,134.0,6.3,442.0,6.3,397.0,6.1,38.0
4,tt0308508,7.4,2721.0,7.4,1806.0,7.6,317.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,50.0,7.9,37.0,7.5,12.0,7.5,1145.0,7.4,978.0,7.7,152.0,7.3,900.0,7.2,740.0,7.5,143.0
5,tt0308644,7.7,208203.0,7.6,111474.0,7.8,55985.0,7.5,16.0,7.6,7.0,7.4,8.0,7.7,15988.0,7.6,8333.0,7.9,7278.0,7.7,115214.0,7.6,75565.0,7.8,38489.0,7.6,32888.0,7.5,24394.0,7.9,8054.0
6,tt0311730,6.3,1661.0,6.2,769.0,6.4,517.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,36.0,5.9,19.0,5.4,16.0,6.1,435.0,5.9,240.0,6.3,189.0,6.3,778.0,6.2,477.0,6.5,293.0
7,tt0317740,7.0,374382.0,7.0,251429.0,7.1,38447.0,7.0,57.0,7.2,43.0,6.9,10.0,7.1,34734.0,7.1,29394.0,7.3,4536.0,7.0,194459.0,7.0,166984.0,7.1,25257.0,6.9,49574.0,6.9,42153.0,7.2,6626.0
8,tt0322023,6.4,2078.0,6.3,1270.0,6.8,279.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,17.0,7.1,10.0,8.4,7.0,6.1,579.0,6.0,429.0,6.7,137.0,6.5,948.0,6.4,799.0,6.8,129.0
9,tt0330793,6.4,163447.0,6.4,118966.0,6.4,9883.0,6.7,14.0,6.5,11.0,6.5,2.0,6.6,10812.0,6.6,9747.0,6.6,839.0,6.4,89389.0,6.4,82211.0,6.3,6323.0,6.2,24484.0,6.2,21883.0,6.5,2233.0
