,nconst,Nominees
0,nm0000031,TRUE
1,nm0000658,TRUE
2,nm0000197,TRUE
3,nm0000006,TRUE
4,nm0000358,TRUE
5,nm0000531,TRUE
6,nm0000974,TRUE
7,nm0000012,TRUE
8,nm0000075,TRUE
9,nm0000243,TRUE
10,nm0000008,TRUE
11,nm0000493,TRUE
12,nm0000949,TRUE
13,nm0000404,TRUE
14,nm0000134,TRUE
15,nm0000163,TRUE
16,nm0001749,TRUE
17,nm0001448,TRUE
18,nm0000323,TRUE
19,nm0000164,TRUE
20,nm0000158,TRUE
21,nm0545298,TRUE
22,nm0000011,TRUE
23,nm0000014,TRUE
24,nm0000072,TRUE
25,nm0000432,TRUE
26,nm0000576,TRUE
27,nm0000063,TRUE
28,nm0001859,TRUE
29,nm0413559,TRUE
30,nm0000149,TRUE
31,nm0000250,TRUE
32,nm0001811,TRUE
33,nm0002048,TRUE
34,nm0001673,TRUE
35,nm0000398,TRUE
36,nm0001848,TRUE
37,nm0371040,TRUE
38,nm0707023,TRUE
39,nm0000046,TRUE
40,nm0000228,TRUE
41,nm0005476,TRUE
42,nm0910607,TRUE
43,nm0991810,TRUE
44,nm0000059,TRUE
45,nm0000056,TRUE
46,nm0000199,TRUE
47,nm0656183,TRUE
48,nm0001132,TRUE
49,nm0002093,TRUE
50,nm0000380,TRUE
51,nm0000701,TRUE
52,nm0000313,TRUE
53,nm0612847,TRUE
54,nm0000995,TRUE
55,nm0000603,TRUE
56,nm0000651,TRUE
57,nm0000138,TRUE
58,nm0000071,TRUE
59,nm0790454,TRUE
60,nm0428354,TRUE
61,nm0000030,TRUE
62,nm0001333,TRUE
63,nm0000060,TRUE
64,nm0000843,TRUE
65,nm0000511,TRUE
66,nm0000215,TRUE
67,nm0000173,TRUE
68,nm0000151,TRUE
69,nm0000194,TRUE
70,nm0000856,TRUE
71,nm0404158,TRUE
72,nm0943837,TRUE
73,nm0000027,TRUE
74,nm0940946,TRUE
75,nm0000044,TRUE
76,nm0001046,TRUE
77,nm0001715,TRUE
78,nm0335519,TRUE
79,nm0000473,TRUE
80,nm0000685,TRUE
81,nm0822972,TRUE
82,nm0001426,TRUE
83,nm0000458,TRUE
84,nm0000870,TRUE
85,nm0000668,TRUE
86,nm0000456,TRUE
87,nm0000169,TRUE
88,nm0001691,TRUE
89,nm0000245,TRUE
90,nm0000210,TRUE
91,nm0000450,TRUE
92,nm0000123,TRUE
93,nm0000273,TRUE
94,nm0000545,TRUE
95,nm0000849,TRUE
96,nm0004851,TRUE
97,nm0000288,TRUE
98,nm2225369,TRUE
99,nm0205626,TRUE
100,nm0001618,TRUE
101,nm0000093,TRUE
102,nm0001452,TRUE
103,nm0001055,TRUE
104,nm0000022,TRUE
105,nm0047810,TRUE
106,nm0000021,TRUE
107,nm0942863,TRUE
108,nm0000010,TRUE
109,nm0002013,TRUE
110,nm0001078,TRUE
111,nm0720843,TRUE
112,nm0001076,TRUE
113,nm0172903,TRUE
114,nm0002141,TRUE
115,nm0872456,TRUE
116,nm0001207,TRUE
117,nm0000007,TRUE
118,nm0000034,TRUE
119,nm0384908,TRUE
120,nm0001703,TRUE
121,nm0000267,TRUE
122,nm0000527,TRUE
123,nm0001768,TRUE
124,nm0949574,TRUE
125,nm0001159,TRUE
126,nm0001378,TRUE
127,nm0000582,TRUE
128,nm0001588,TRUE
129,nm0000673,TRUE
130,nm0001445,TRUE
131,nm0000128,TRUE
132,nm0000234,TRUE
133,nm0000204,TRUE
134,nm0001626,TRUE
135,nm0818055,TRUE
136,nm1297015,TRUE
137,nm0000198,TRUE
138,nm0000368,TRUE
139,nm0000564,TRUE
140,nm0000335,TRUE
141,nm0000009,TRUE
142,nm0000039,TRUE
143,nm0728812,TRUE
144,nm0010736,TRUE
145,nm0002050,TRUE
146,nm0447913,TRUE
147,nm0001215,TRUE
148,nm0931329,TRUE
149,nm0001766,TRUE
150,nm0000964,TRUE
151,nm0001682,TRUE
152,nm0001647,TRUE
153,nm0751426,TRUE
154,nm0001547,TRUE
155,nm0001050,TRUE
156,nm0000886,TRUE
157,nm0000737,TRUE
158,nm0556850,TRUE
159,nm0000353,TRUE
160,nm0000906,TRUE
161,nm0000438,TRUE
162,nm1519680,TRUE
163,nm0177896,TRUE
164,nm0587277,TRUE
165,nm0928514,TRUE
166,nm0097648,TRUE
167,nm0107543,TRUE
168,nm0896542,TRUE
169,nm0515979,TRUE
170,nm0000859,TRUE
171,nm0064600,TRUE
172,nm0191899,TRUE
173,nm0523932,TRUE
174,nm0113284,TRUE
175,nm0502752,TRUE
176,nm0851537,TRUE
177,nm0749484,TRUE
178,nm0903049,TRUE
179,nm0001008,TRUE
180,nm0002030,TRUE
181,nm0006276,TRUE
182,nm0886754,TRUE
183,nm0000406,TRUE
184,nm0002031,TRUE
185,nm0368871,TRUE
186,nm0478441,TRUE
187,nm0943758,TRUE
188,nm0564970,TRUE
189,nm0226189,TRUE
190,nm0291548,TRUE
191,nm0920074,TRUE
192,nm0281808,TRUE
193,nm0939992,TRUE
194,nm0000033,TRUE
195,nm0355284,TRUE
196,nm0001328,TRUE
197,nm0000080,TRUE
198,nm0268513,TRUE
199,nm0503777,TRUE
200,nm0828419,TRUE
201,nm0454771,TRUE
202,nm0000697,TRUE
203,nm0695937,TRUE
204,nm0719756,TRUE
205,nm0000180,TRUE
206,nm0802563,TRUE
207,nm0001415,TRUE
208,nm0229424,TRUE
209,nm0467396,TRUE
210,nm0001379,TRUE
211,nm0514822,TRUE
212,nm0624535,TRUE
213,nm0000059,TRUE
214,nm0003593,TRUE
215,nm0000581,TRUE
216,nm0715346,TRUE
217,nm0744035,TRUE
