,tconst,Nominees
0,tt0021622,TRUE
1,tt0021635,TRUE
2,tt0021730,TRUE
3,tt0021873,TRUE
4,tt0023303,TRUE
5,tt0023458,TRUE
6,tt0022074,TRUE
7,tt0022835,TRUE
8,tt0021931,TRUE
9,tt0022386,TRUE
10,tt0022854,TRUE
11,tt0023109,TRUE
12,tt0022430,TRUE
13,tt0023686,TRUE
14,tt0022500,TRUE
15,tt0022599,TRUE
16,tt0023876,TRUE
17,tt0024034,TRUE
18,tt0022879,TRUE
19,tt0023042,TRUE
20,tt0024240,TRUE
21,tt0024264,TRUE
22,tt0024473,TRUE
23,tt0024548,TRUE
24,tt0023488,TRUE
25,tt0024610,TRUE
26,tt0023794,TRUE
27,tt0024353,TRUE
28,tt0023305,TRUE
29,tt0024475,TRUE
30,tt0023374,TRUE
31,tt0024496,TRUE
32,tt0023470,TRUE
33,tt0024763,TRUE
34,tt0024069,TRUE
35,tt0025316,TRUE
36,tt0024865,TRUE
37,tt0024991,TRUE
38,tt0025124,TRUE
39,tt0025164,TRUE
40,tt0025238,TRUE
41,tt0025272,TRUE
42,tt0025301,TRUE
43,tt0025601,TRUE
44,tt0025878,TRUE
45,tt0025948,TRUE
46,tt0025986,TRUE
47,tt0024816,TRUE
48,tt0025586,TRUE
49,tt0025464,TRUE
50,tt0025251,TRUE
51,tt0025718,TRUE
52,tt0025607,TRUE
53,tt0025493,TRUE
54,tt0023990,TRUE
55,tt0024025,TRUE
56,tt0025774,TRUE
57,tt0025423,TRUE
58,tt0026752,TRUE
59,tt0026056,TRUE
60,tt0026144,TRUE
61,tt0026174,TRUE
62,tt0026266,TRUE
63,tt0026529,TRUE
64,tt0026725,TRUE
65,tt0026643,TRUE
66,tt0026714,TRUE
67,tt0026768,TRUE
68,tt0026955,TRUE
69,tt0027125,TRUE
70,tt0026121,TRUE
71,tt0026261,TRUE
72,tt0026320,TRUE
73,tt0026893,TRUE
74,tt0026104,TRUE
75,tt0026264,TRUE
76,tt0026970,TRUE
77,tt0026400,TRUE
78,tt0026393,TRUE
79,tt0026097,TRUE
80,tt0026249,TRUE
81,tt0026027,TRUE
82,tt0026138,TRUE
83,tt0026507,TRUE
84,tt0026654,TRUE
85,tt0027088,TRUE
86,tt0026421,TRUE
87,tt0026942,TRUE
88,tt0026866,TRUE
89,tt0026373,TRUE
90,tt0024823,TRUE
91,tt0026113,TRUE
92,tt0026143,TRUE
93,tt0026418,TRUE
94,tt0026571,TRUE
95,tt0026983,TRUE
96,tt0027698,TRUE
97,tt0027300,TRUE
98,tt0027532,TRUE
99,tt0027884,TRUE
100,tt0027996,TRUE
101,tt0028203,TRUE
102,tt0028216,TRUE
103,tt0028313,TRUE
104,tt0027075,TRUE
105,tt0028373,TRUE
106,tt0028010,TRUE
107,tt0028355,TRUE
108,tt0028455,TRUE
109,tt0027459,TRUE
110,tt0028103,TRUE
111,tt0027664,TRUE
112,tt0027690,TRUE
113,tt0028356,TRUE
114,tt0027438,TRUE
115,tt0027869,TRUE
116,tt0027657,TRUE
117,tt0027652,TRUE
118,tt0027260,TRUE
119,tt0027902,TRUE
120,tt0027930,TRUE
121,tt0028511,TRUE
122,tt0027331,TRUE
123,tt0027665,TRUE
124,tt0028352,TRUE
125,tt0028354,TRUE
126,tt0028333,TRUE
127,tt0028330,TRUE
128,tt0027387,TRUE
129,tt0028401,TRUE
130,tt0028092,TRUE
131,tt0028255,TRUE
132,tt0027686,TRUE
133,tt0027413,TRUE
134,tt0028063,TRUE
135,tt0027496,TRUE
136,tt0029146,TRUE
137,tt0028597,TRUE
138,tt0028691,TRUE
139,tt0028773,TRUE
140,tt0028944,TRUE
141,tt0029047,TRUE
142,tt0029162,TRUE
143,tt0029347,TRUE
144,tt0029604,TRUE
145,tt0029606,TRUE
146,tt0028739,TRUE
147,tt0029310,TRUE
148,tt0028683,TRUE
149,tt0029608,TRUE
150,tt0029030,TRUE
151,tt0029682,TRUE
152,tt0029593,TRUE
153,tt0027367,TRUE
154,tt0029784,TRUE
155,tt0028757,TRUE
156,tt0028843,TRUE
157,tt0029209,TRUE
158,tt0029442,TRUE
159,tt0029737,TRUE
160,tt0029751,TRUE
161,tt0029809,TRUE
162,tt0028931,TRUE
163,tt0029006,TRUE
164,tt0029222,TRUE
165,tt0029752,TRUE
166,tt0029742,TRUE
167,tt0029267,TRUE
168,tt0029546,TRUE
169,tt0028587,TRUE
170,tt0029583,TRUE
171,tt0029193,TRUE
172,tt0029433,TRUE
173,tt0029454,TRUE
174,tt0029588,TRUE
175,tt0029747,TRUE
176,tt0029725,TRUE
177,tt0029467,TRUE
178,tt0028772,TRUE
179,tt0028566,TRUE
180,tt0029659,TRUE
181,tt0030993,TRUE
182,tt0029843,TRUE
183,tt0029852,TRUE
184,tt0029942,TRUE
185,tt0029995,TRUE
186,tt0030149,TRUE
187,tt0028950,TRUE
188,tt0030287,TRUE
189,tt0030637,TRUE
190,tt0030848,TRUE
191,tt0029855,TRUE
192,tt0029870,TRUE
193,tt0030973,TRUE
194,tt0030418,TRUE
195,tt0030865,TRUE
196,tt0030317,TRUE
197,tt0030265,TRUE
198,tt0030517,TRUE
199,tt0030442,TRUE
200,tt0030202,TRUE
201,tt0029924,TRUE
202,tt0030395,TRUE
203,tt0029880,TRUE
204,tt0029950,TRUE
205,tt0030811,TRUE
206,tt0030944,TRUE
207,tt0031002,TRUE
208,tt0029844,TRUE
209,tt0029971,TRUE
210,tt0030194,TRUE
211,tt0030241,TRUE
212,tt0030018,TRUE
213,tt0030817,TRUE
214,tt0030854,TRUE
215,tt0029912,TRUE
216,tt0030413,TRUE
217,tt0030910,TRUE
218,tt0030190,TRUE
219,tt0030340,TRUE
220,tt0029923,TRUE
221,tt0029945,TRUE
222,tt0031774,TRUE
223,tt0030184,TRUE
224,tt0030798,TRUE
225,tt0030856,TRUE
226,tt0030897,TRUE
227,tt0031381,TRUE
228,tt0031210,TRUE
229,tt0031385,TRUE
230,tt0031593,TRUE
231,tt0031679,TRUE
232,tt0031725,TRUE
233,tt0031742,TRUE
234,tt0031971,TRUE
235,tt0032138,TRUE
236,tt0032145,TRUE
237,tt0031066,TRUE
238,tt0031516,TRUE
239,tt0031088,TRUE
240,tt0031252,TRUE
241,tt0031067,TRUE
242,tt0032155,TRUE
243,tt0031334,TRUE
244,tt0031650,TRUE
245,tt0031826,TRUE
246,tt0031311,TRUE
247,tt0031393,TRUE
248,tt0031398,TRUE
249,tt0031491,TRUE
250,tt0031549,TRUE
251,tt0031762,TRUE
252,tt0031835,TRUE
253,tt0031137,TRUE
254,tt0031620,TRUE
255,tt0032124,TRUE
256,tt0031074,TRUE
257,tt0031455,TRUE
258,tt0032043,TRUE
259,tt0032080,TRUE
260,tt0031397,TRUE
261,tt0031907,TRUE
262,tt0031282,TRUE
263,tt0031377,TRUE
264,tt0031619,TRUE
265,tt0031737,TRUE
266,tt0031921,TRUE
267,tt0031996,TRUE
268,tt0032023,TRUE
269,tt0032114,TRUE
270,tt0032976,TRUE
271,tt0032194,TRUE
272,tt0032484,TRUE
273,tt0032551,TRUE
274,tt0032553,TRUE
275,tt0032671,TRUE
276,tt0032701,TRUE
277,tt0032728,TRUE
278,tt0032881,TRUE
279,tt0032904,TRUE
280,tt0032181,TRUE
281,tt0033253,TRUE
282,tt0033150,TRUE
283,tt0032946,TRUE
284,tt0032554,TRUE
285,tt0032209,TRUE
286,tt0032413,TRUE
287,tt0032220,TRUE
288,tt0032349,TRUE
289,tt0032432,TRUE
290,tt0029284,TRUE
291,tt0033152,TRUE
292,tt0032256,TRUE
293,tt0032264,TRUE
294,tt0032410,TRUE
295,tt0032850,TRUE
296,tt0032851,TRUE
297,tt0032273,TRUE
298,tt0033095,TRUE
299,tt0033238,TRUE
300,tt0032943,TRUE
301,tt0032221,TRUE
302,tt0032276,TRUE
303,tt0032383,TRUE
304,tt0032710,TRUE
305,tt0032831,TRUE
306,tt0033028,TRUE
307,tt0033110,TRUE
308,tt0032246,TRUE
309,tt0032304,TRUE
310,tt0032612,TRUE
311,tt0033174,TRUE
312,tt0032412,TRUE
313,tt0032635,TRUE
314,tt0032871,TRUE
315,tt0033124,TRUE
316,tt0033196,TRUE
317,tt0033274,TRUE
318,tt0032910,TRUE
319,tt0033283,TRUE
320,tt0032823,TRUE
321,tt0033029,TRUE
322,tt0032986,TRUE
323,tt0032600,TRUE
324,tt0032465,TRUE
325,tt0032610,TRUE
326,tt0032762,TRUE
327,tt0033167,TRUE
328,tt0032638,TRUE
329,tt0033729,TRUE
330,tt0033407,TRUE
331,tt0033467,TRUE
332,tt0033712,TRUE
333,tt0033722,TRUE
334,tt0033836,TRUE
335,tt0033870,TRUE
336,tt0033980,TRUE
337,tt0034167,TRUE
338,tt0034248,TRUE
339,tt0034012,TRUE
340,tt0033532,TRUE
341,tt0033373,TRUE
342,tt0033533,TRUE
343,tt0033677,TRUE
344,tt0034262,TRUE
345,tt0034299,TRUE
346,tt0033804,TRUE
347,tt0033891,TRUE
348,tt0032842,TRUE
349,tt0033405,TRUE
350,tt0033331,TRUE
351,tt0033389,TRUE
352,tt0033537,TRUE
353,tt0033851,TRUE
354,tt0033464,TRUE
355,tt0033553,TRUE
356,tt0034241,TRUE
357,tt0034242,TRUE
358,tt0034272,TRUE
359,tt0033606,TRUE
360,tt0033802,TRUE
361,tt0033076,TRUE
362,tt0034386,TRUE
363,tt0033348,TRUE
364,tt0033531,TRUE
365,tt0033900,TRUE
366,tt0034198,TRUE
367,tt0034303,TRUE
368,tt0033741,TRUE
369,tt0032477,TRUE
370,tt0032637,TRUE
371,tt0034162,TRUE
372,tt0034405,TRUE
373,tt0033803,TRUE
374,tt0033563,TRUE
375,tt0034106,TRUE
376,tt0033409,TRUE
377,tt0033436,TRUE
378,tt0033814,TRUE
379,tt0033323,TRUE
380,tt0034409,TRUE
381,tt0033365,TRUE
382,tt0033459,TRUE
383,tt0033787,TRUE
384,tt0033858,TRUE
385,tt0033906,TRUE
386,tt0034208,TRUE
387,tt0034264,TRUE
388,tt0034274,TRUE
389,tt0034285,TRUE
390,tt0033396,TRUE
391,tt0033749,TRUE
392,tt0034236,TRUE
393,tt0034243,TRUE
394,tt0035093,TRUE
395,tt0033627,TRUE
396,tt0034946,TRUE
397,tt0035015,TRUE
398,tt0035189,TRUE
399,tt0035211,TRUE
400,tt0035238,TRUE
401,tt0035417,TRUE
402,tt0035530,TRUE
403,tt0035575,TRUE
404,tt0035140,TRUE
405,tt0035567,TRUE
406,tt0035105,TRUE
407,tt0033774,TRUE
408,tt0035460,TRUE
409,tt0035153,TRUE
410,tt0035262,TRUE
411,tt0035531,TRUE
412,tt0034862,TRUE
413,tt0034522,TRUE
414,tt0034465,TRUE
415,tt0034578,TRUE
416,tt0034928,TRUE
417,tt0035244,TRUE
418,tt0035447,TRUE
419,tt0035082,TRUE
420,tt0035413,TRUE
421,tt0035421,TRUE
422,tt0035431,TRUE
423,tt0034780,TRUE
424,tt0034175,TRUE
425,tt0035335,TRUE
426,tt0035369,TRUE
427,tt0035103,TRUE
428,tt0034492,TRUE
429,tt0034742,TRUE
430,tt0034757,TRUE
431,tt0015864,TRUE
432,tt0035151,TRUE
433,tt0035583,TRUE
434,tt0034646,TRUE
435,tt0034902,TRUE
436,tt0035113,TRUE
437,tt0034454,TRUE
438,tt0034485,TRUE
439,tt0035587,TRUE
440,tt0035157,TRUE
441,tt0034743,TRUE
442,tt0033704,TRUE
443,tt0035048,TRUE
444,tt0034746,TRUE
445,tt0033766,TRUE
446,tt0034921,TRUE
447,tt0033490,TRUE
448,tt0034881,TRUE
449,tt0034919,TRUE
450,tt0034948,TRUE
451,tt0035446,TRUE
452,tt0034583,TRUE
453,tt0035896,TRUE
454,tt0035979,TRUE
455,tt0036022,TRUE
456,tt0034891,TRUE
457,tt0036126,TRUE
458,tt0036172,TRUE
459,tt0036244,TRUE
460,tt0036377,TRUE
461,tt0036515,TRUE
462,tt0035751,TRUE
463,tt0036323,TRUE
464,tt0036367,TRUE
465,tt0036277,TRUE
466,tt0035616,TRUE
467,tt0036217,TRUE
468,tt0035608,TRUE
469,tt0035799,TRUE
470,tt0036342,TRUE
471,tt0036009,TRUE
472,tt0036261,TRUE
473,tt0035982,TRUE
474,tt0036098,TRUE
475,tt0036432,TRUE
476,tt0035757,TRUE
477,tt0035884,TRUE
478,tt0035888,TRUE
479,tt0036166,TRUE
480,tt0035916,TRUE
481,tt0036430,TRUE
482,tt0036431,TRUE
483,tt0035966,TRUE
484,tt0036313,TRUE
485,tt0036326,TRUE
486,tt0036368,TRUE
487,tt0036038,TRUE
488,tt0035763,TRUE
489,tt0035689,TRUE
490,tt0036386,TRUE
491,tt0035727,TRUE
492,tt0035703,TRUE
493,tt0036363,TRUE
494,tt0035993,TRUE
495,tt0035379,TRUE
496,tt0036422,TRUE
497,tt0036384,TRUE
498,tt0036375,TRUE
499,tt0035749,TRUE
500,tt0035631,TRUE
501,tt0035746,TRUE
502,tt0035860,TRUE
503,tt0035996,TRUE
504,tt0036057,TRUE
505,tt0036065,TRUE
506,tt0036094,TRUE
507,tt0035078,TRUE
508,tt0036497,TRUE
509,tt0036872,TRUE
510,tt0036775,TRUE
511,tt0036855,TRUE
512,tt0037280,TRUE
513,tt0037465,TRUE
514,tt0037135,TRUE
515,tt0037094,TRUE
516,tt0037096,TRUE
517,tt0037263,TRUE
518,tt0037008,TRUE
519,tt0036777,TRUE
520,tt0037017,TRUE
521,tt0036891,TRUE
522,tt0037077,TRUE
523,tt0037408,TRUE
524,tt0037466,TRUE
525,tt0035959,TRUE
526,tt0037136,TRUE
527,tt0037323,TRUE
528,tt0037059,TRUE
529,tt0036723,TRUE
530,tt0036926,TRUE
531,tt0036984,TRUE
532,tt0037000,TRUE
533,tt0037366,TRUE
534,tt0037415,TRUE
535,tt0037462,TRUE
536,tt0036581,TRUE
537,tt0036582,TRUE
538,tt0036699,TRUE
539,tt0036208,TRUE
540,tt0037313,TRUE
541,tt0036715,TRUE
542,tt0036755,TRUE
543,tt0037193,TRUE
544,tt0036670,TRUE
545,tt0036001,TRUE
546,tt0036922,TRUE
547,tt0036962,TRUE
548,tt0037105,TRUE
549,tt0037438,TRUE
550,tt0036970,TRUE
551,tt0036748,TRUE
552,tt0037253,TRUE
553,tt0037316,TRUE
554,tt0036919,TRUE
555,tt0036832,TRUE
556,tt0037333,TRUE
557,tt0037420,TRUE
558,tt0037076,TRUE
559,tt0037002,TRUE
560,tt0037297,TRUE
561,tt0036961,TRUE
562,tt0036988,TRUE
563,tt0037070,TRUE
564,tt0037258,TRUE
565,tt0036672,TRUE
566,tt0036711,TRUE
567,tt0036824,TRUE
568,tt0036892,TRUE
569,tt0036051,TRUE
570,tt0037325,TRUE
571,tt0037374,TRUE
572,tt0037421,TRUE
573,tt0037470,TRUE
574,tt0037884,TRUE
575,tt0037514,TRUE
576,tt0037536,TRUE
577,tt0037913,TRUE
578,tt0038109,TRUE
579,tt0036983,TRUE
580,tt0038104,TRUE
581,tt0038213,TRUE
582,tt0037885,TRUE
583,tt0037865,TRUE
584,tt0038190,TRUE
585,tt0037614,TRUE
586,tt0038120,TRUE
587,tt0037906,TRUE
588,tt0037120,TRUE
589,tt0037988,TRUE
590,tt0038107,TRUE
591,tt0037899,TRUE
592,tt0037644,TRUE
593,tt0037104,TRUE
594,tt0038047,TRUE
595,tt0038243,TRUE
596,tt0037795,TRUE
597,tt0037498,TRUE
598,tt0037954,TRUE
599,tt0038000,TRUE
600,tt0038108,TRUE
601,tt0037547,TRUE
602,tt0036807,TRUE
603,tt0036840,TRUE
604,tt0038048,TRUE
605,tt0038165,TRUE
606,tt0037702,TRUE
607,tt0037859,TRUE
608,tt0038026,TRUE
609,tt0038160,TRUE
610,tt0038166,TRUE
611,tt0037371,TRUE
612,tt0038205,TRUE
613,tt0038260,TRUE
614,tt0037575,TRUE
615,tt0038116,TRUE
616,tt0036912,TRUE
617,tt0038178,TRUE
618,tt0038249,TRUE
619,tt0037664,TRUE
620,tt0038091,TRUE
621,tt0036692,TRUE
622,tt0036636,TRUE
623,tt0037782,TRUE
624,tt0037816,TRUE
625,tt0038135,TRUE
626,tt0037557,TRUE
627,tt0037576,TRUE
628,tt0037671,TRUE
629,tt0037725,TRUE
630,tt0036886,TRUE
631,tt0037756,TRUE
632,tt0037893,TRUE
633,tt0037972,TRUE
634,tt0038162,TRUE
635,tt0037469,TRUE
636,tt0036868,TRUE
637,tt0036910,TRUE
638,tt0038650,TRUE
639,tt0038873,TRUE
640,tt0039111,TRUE
641,tt0038661,TRUE
642,tt0039040,TRUE
643,tt0037558,TRUE
644,tt0038499,TRUE
645,tt0038948,TRUE
646,tt0038578,TRUE
647,tt0038787,TRUE
648,tt0038975,TRUE
649,tt0038053,TRUE
650,tt0038303,TRUE
651,tt0038669,TRUE
652,tt0038924,TRUE
653,tt0038369,TRUE
654,tt0037674,TRUE
655,tt0038032,TRUE
656,tt0037980,TRUE
657,tt0038455,TRUE
658,tt0038988,TRUE
659,tt0038991,TRUE
660,tt0038890,TRUE
661,tt0037849,TRUE
662,tt0038390,TRUE
663,tt0038363,TRUE
664,tt0038984,TRUE
665,tt0038589,TRUE
666,tt0038406,TRUE
667,tt0037651,TRUE
668,tt0038395,TRUE
669,tt0038370,TRUE
670,tt0038776,TRUE
671,tt0038622,TRUE
672,tt0039416,TRUE
673,tt0039190,TRUE
674,tt0039286,TRUE
675,tt0038574,TRUE
676,tt0039628,TRUE
677,tt0039335,TRUE
678,tt0039204,TRUE
679,tt0039566,TRUE
