,tconst,Winner
0,tt9784798,TRUE
1,tt10514222,TRUE
2,tt10618286,TRUE
3,tt2948372,TRUE
4,tt10288566,TRUE
5,tt9770150,TRUE
6,tt12888462,TRUE
7,tt6723592,TRUE
8,tt10272386,TRUE
9,tt10633456,TRUE
10,tt9620292,TRUE
11,tt6394270,TRUE
12,tt3281548,TRUE
13,tt8579674,TRUE
14,tt2584384,TRUE
15,tt5363618,TRUE
16,tt7286456,TRUE
17,tt1950186,TRUE
18,tt7549996,TRUE
19,tt7653254,TRUE
20,tt1979376,TRUE
21,tt7131622,TRUE
22,tt6751668,TRUE
23,tt2066051,TRUE
24,tt9351980,TRUE
25,tt6266538,TRUE
26,tt4633694,TRUE
27,tt1727824,TRUE
28,tt6966692,TRUE
29,tt7125860,TRUE
30,tt1517451,TRUE
31,tt7775622,TRUE
32,tt5083738,TRUE
33,tt6155172,TRUE
34,tt1213641,TRUE
35,tt7349662,TRUE
36,tt1825683,TRUE
37,tt5776858,TRUE
38,tt2380307,TRUE
39,tt1856101,TRUE
40,tt5580036,TRUE
41,tt5027774,TRUE
42,tt4555426,TRUE
43,tt5580390,TRUE
44,tt5013056,TRUE
45,tt5639354,TRUE
46,tt5052448,TRUE
47,tt5726616,TRUE
48,tt6333060,TRUE
49,tt2671706,TRUE
50,tt3183660,TRUE
51,tt2119532,TRUE
52,tt4975722,TRUE
53,tt2543164,TRUE
54,tt3783958,TRUE
55,tt1386697,TRUE
56,tt5186714,TRUE
57,tt3040964,TRUE
58,tt2948356,TRUE
59,tt4034228,TRUE
60,tt5275892,TRUE
61,tt1663202,TRUE
62,tt3460252,TRUE
63,tt1596363,TRUE
64,tt2379713,TRUE
65,tt3682448,TRUE
66,tt0810819,TRUE
67,tt3170832,TRUE
68,tt1895587,TRUE
69,tt2096673,TRUE
70,tt2870648,TRUE
71,tt3808342,TRUE
72,tt1392190,TRUE
73,tt0470752,TRUE
74,tt2179136,TRUE
75,tt1020072,TRUE
76,tt0816692,TRUE
77,tt2245084,TRUE
78,tt4044364,TRUE
